iterations,fitness,time,fevals
0,22.0,0.003746193,646
10,23.0,0.005120606,1199
20,27.0,0.006210164,1746
30,27.0,0.009351767,2291
40,25.0,0.010908536,2829
50,27.0,0.011959408,3380
60,31.0,0.014357056,3927
70,33.0,0.027421107,4477
80,35.0,0.027981821,5033
90,36.0,0.028497917,5585
100,35.0,0.029009009,6122
110,35.0,0.029495524,6672
120,35.0,0.030038099,7218
130,35.0,0.030568737,7761
140,35.0,0.031081956,8308
150,35.0,0.031649292,8857
160,34.0,0.032127388,9402
170,34.0,0.032629702,9942
180,36.0,0.03315466,10488
190,37.0,0.033670132,11045
200,37.0,0.034228273,11592
210,38.0,0.034803338,12147
220,38.0,0.035308888,12692
230,37.0,0.035827008,13241
240,38.0,0.036311796,13786
250,38.0,0.036825558,14339
260,37.0,0.037345913,14889
270,38.0,0.037853467,15437
280,37.0,0.038419919,15983
290,38.0,0.038899086,16530
300,37.0,0.03940316,17087
310,37.0,0.040334912,17633
320,37.0,0.040847247,18181
330,37.0,0.041336638,18724
340,37.0,0.041870539,19278
350,38.0,0.042411346,19829
360,37.0,0.042997645,20383
370,38.0,0.043549374,20928
380,39.0,0.044065697,21479
390,39.0,0.044596833,22026
400,39.0,0.045104885,22570
410,37.0,0.045609338,23120
420,37.0,0.046098709,23666
430,39.0,0.046566319,24215
440,38.0,0.04706084,24771
450,38.0,0.047995457,25316
460,38.0,0.048498464,25866
470,37.0,0.048985841,26413
480,37.0,0.04945538,26962
490,37.0,0.049942919,27507
500,37.0,0.050421962,28057
510,37.0,0.05090558,28604
520,37.0,0.051422096,29154
530,38.0,0.051890283,29706
540,37.0,0.052377441,30260
550,37.0,0.052908369,30809
560,37.0,0.05338137,31362
570,39.0,0.053898515,31914
580,38.0,0.054386261,32462
590,39.0,0.054881153,33013
600,38.0,0.055369203,33558
610,39.0,0.055863736,34116
620,38.0,0.056381986,34671
630,39.0,0.056860835,35215
640,42.0,0.057375905,35762
650,40.0,0.057887505,36307
660,40.0,0.058404231,36857
670,42.0,0.058910544,37406
680,42.0,0.059698727,37957
690,41.0,0.060368021,38512
700,42.0,0.06087648,39055
710,43.0,0.061389026,39603
720,43.0,0.062049617,40147
730,42.0,0.062916467,40696
740,43.0,0.063429269,41244
750,42.0,0.063893128,41783
760,43.0,0.06437964,42342
770,44.0,0.064902523,42887
780,44.0,0.065434261,43435
790,44.0,0.065977966,43981
800,44.0,0.06646643,44520
810,44.0,0.066970758,45066
820,45.0,0.067482349,45608
830,48.0,0.068022352,46157
840,48.0,0.068569849,46707
850,49.0,0.06907385,47261
860,49.0,0.069575748,47812
870,47.0,0.070091976,48354
880,47.0,0.070576506,48909
890,48.0,0.07108798,49457
900,48.0,0.071597342,50009
910,48.0,0.07211819,50562
920,49.0,0.072621679,51108
930,48.0,0.073095485,51656
940,48.0,0.073619338,52212
950,49.0,0.074515295,52766
960,49.0,0.075033979,53315
970,48.0,0.075540208,53854
980,48.0,0.076055616,54414
990,49.0,0.076557355,54978
1000,48.0,0.07707241,55524
1010,50.0,0.07756115,56072
1020,49.0,0.078184997,56618
1030,47.0,0.079158374,57170
1040,49.0,0.07970215,57716
1050,49.0,0.08018098,58268
1060,49.0,0.080688619,58817
1070,49.0,0.081205374,59354
1080,50.0,0.08168583,59907
1090,50.0,0.082202466,60453
1100,49.0,0.082690256,60987
1110,49.0,0.083189903,61542
1120,49.0,0.083679221,62089
1130,49.0,0.084154341,62642
1140,50.0,0.084643883,63196
1150,51.0,0.085122845,63738
1160,51.0,0.085648889,64286
1170,51.0,0.086135361,64842
1180,50.0,0.086630484,65387
1190,50.0,0.087110869,65936
1200,51.0,0.087577605,66480
1210,51.0,0.088067714,67029
1220,51.0,0.088537223,67574
1230,52.0,0.089022555,68117
1240,50.0,0.089504984,68671
1250,52.0,0.089992909,69225
1260,52.0,0.090502137,69785
1270,53.0,0.090967188,70335
1280,53.0,0.091462344,70887
1290,55.0,0.091918013,71443
1300,57.0,0.092402161,71989
1310,56.0,0.092856022,72537
1320,56.0,0.093329596,73085
1330,57.0,0.0937752,73623
1340,57.0,0.094248742,74176
1350,57.0,0.094712255,74715
1360,57.0,0.095172076,75268
1370,56.0,0.095671933,75813
1380,56.0,0.096129049,76363
1390,56.0,0.096611882,76903
1400,57.0,0.097069481,77446
1410,56.0,0.097564951,77998
1420,56.0,0.098062953,78553
1430,57.0,0.098549385,79090
1440,57.0,0.099090252,79634
1450,58.0,0.099581335,80186
1460,57.0,0.100114482,80736
1470,57.0,0.100624816,81291
1480,57.0,0.101105573,81850
1490,57.0,0.101595992,82402
1500,57.0,0.102062099,82953
1510,58.0,0.10257537,83499
