iterations,fitness,time,fevals
0,25.0,0.10193294,1000
10,33.0,0.194829504,2100
20,39.0,0.278696753,3200
30,44.0,0.359551944,4300
40,43.0,0.435950704,5400
50,46.0,0.51260454,6500
60,46.0,0.58642459,7600
70,46.0,0.658888285,8700
80,46.0,0.735226845,9800
90,51.0,0.808963758,10900
100,49.0,0.880952434,12000
110,47.0,0.95177787,13100
120,52.0,1.023611342,14200
130,51.0,1.09957318,15300
140,51.0,1.171874346,16400
150,56.0,1.241473385,17500
160,50.0,1.316243581,18600
170,52.0,1.384792156,19700
180,51.0,1.453777649,20800
190,50.0,1.521851472,21900
200,50.0,1.590823517,23000
210,52.0,1.661252548,24100
220,55.0,1.732460722,25200
230,54.0,1.80193103,26300
240,50.0,1.872321942,27400
250,54.0,1.939707256,28500
260,54.0,2.00999637,29600
270,54.0,2.079522133,30700
280,54.0,2.147319404,31800
290,50.0,2.217093659,32900
300,54.0,2.286356519,34000
310,50.0,2.353063127,35100
320,50.0,2.421927343,36200
330,50.0,2.48975116,37300
340,50.0,2.560891977,38400
350,50.0,2.628363907,39500
360,51.0,2.698554605,40600
370,50.0,2.768586327,41700
380,54.0,2.838501081,42800
390,50.0,2.908251036,43900
400,50.0,2.977677162,45000
410,56.0,3.051536807,46100
420,54.0,3.120657815,47200
430,50.0,3.187219521,48300
440,53.0,3.253999552,49400
450,55.0,3.318145841,50500
460,54.0,3.384005491,51600
470,55.0,3.449735657,52700
480,54.0,3.51535964,53800
490,54.0,3.582802525,54900
500,55.0,3.650398881,56000
510,56.0,3.717559779,57100
520,56.0,3.783735081,58200
530,56.0,3.849536119,59300
540,57.0,3.916021596,60400
550,57.0,3.983171301,61500
560,56.0,4.050107543,62600
570,55.0,4.116306777,63700
580,56.0,4.180693589,64800
590,57.0,4.244713606,65900
600,56.0,4.308713036,67000
610,56.0,4.377654935,68100
620,56.0,4.446105476,69200
630,56.0,4.513016313,70300
640,56.0,4.577837549,71400
650,55.0,4.643604248,72500
660,56.0,4.70985057,73600
670,56.0,4.775924039,74700
680,56.0,4.842390364,75800
690,56.0,4.912556389,76900
