iterations,fitness,time,fevals
0,14.0,0.000542317,11
10,14.0,0.000808953,21
20,15.0,0.000997679,31
30,17.0,0.00121482,41
40,17.0,0.001398551,51
50,17.0,0.001611519,61
60,17.0,0.001819667,71
70,17.0,0.002056265,81
80,17.0,0.002298497,91
90,17.0,0.002505736,101
100,19.0,0.002650623,111
110,19.0,0.002757919,121
120,19.0,0.002879472,131
130,19.0,0.002949111,141
140,19.0,0.003024998,151
150,19.0,0.003519066,161
160,21.0,0.003633715,171
170,22.0,0.003706424,181
180,22.0,0.003791555,191
190,22.0,0.003865434,201
200,22.0,0.003954392,211
210,23.0,0.0040256,221
220,23.0,0.00408763,231
230,23.0,0.004165393,241
240,23.0,0.004227938,251
250,23.0,0.004355283,261
260,23.0,0.004549369,271
270,23.0,0.004666289,281
280,23.0,0.00475769,291
290,23.0,0.004831993,301
300,23.0,0.004892452,311
310,23.0,0.00496193,321
320,23.0,0.005027036,331
330,23.0,0.005100048,341
340,23.0,0.005154206,351
350,25.0,0.005224486,361
360,25.0,0.005310131,371
370,25.0,0.005369548,381
380,28.0,0.00544456,391
390,28.0,0.00550738,401
400,28.0,0.005563349,411
410,28.0,0.005620286,421
420,28.0,0.005672991,431
430,28.0,0.005742443,441
440,29.0,0.005819452,451
450,29.0,0.005875909,461
460,29.0,0.005960893,471
470,29.0,0.006015171,481
480,29.0,0.006067903,491
490,29.0,0.006120376,501
500,30.0,0.006243475,511
510,30.0,0.006329313,521
520,30.0,0.006385885,531
530,30.0,0.00644683,541
540,30.0,0.006532503,551
550,31.0,0.006588941,561
560,32.0,0.006644896,571
570,32.0,0.006735151,581
580,32.0,0.006793535,591
590,32.0,0.006850969,601
600,32.0,0.006912288,611
610,32.0,0.006950042,621
620,32.0,0.006982018,631
630,32.0,0.007053349,641
640,32.0,0.007087556,651
650,32.0,0.007129065,661
660,32.0,0.007159433,671
670,32.0,0.007190752,681
680,32.0,0.007261517,691
690,32.0,0.007300038,701
700,32.0,0.0073343,711
710,32.0,0.007366921,721
720,32.0,0.007398202,731
730,33.0,0.007432258,741
740,33.0,0.007461125,751
750,37.0,0.007492008,761
760,37.0,0.007565029,771
770,37.0,0.007595856,781
780,37.0,0.007627371,791
790,37.0,0.007661792,801
800,37.0,0.007692544,811
810,37.0,0.007773292,821
820,37.0,0.007795335,831
830,37.0,0.007817448,841
840,37.0,0.007837863,851
850,37.0,0.007866929,861
860,37.0,0.00789304,871
870,37.0,0.007915073,881
880,38.0,0.007934444,891
890,38.0,0.007955929,901
900,38.0,0.007978965,911
910,38.0,0.007999373,921
920,38.0,0.008021303,931
930,38.0,0.008043413,941
940,39.0,0.008065555,951
950,39.0,0.008088116,961
960,39.0,0.008110332,971
970,39.0,0.00813159,981
980,39.0,0.008151392,991
990,39.0,0.008171127,1001
1000,39.0,0.008191755,1011
1010,40.0,0.008210706,1021
1020,40.0,0.008236899,1031
1030,40.0,0.008256964,1041
1040,40.0,0.008284686,1051
1050,40.0,0.008304172,1061
1060,40.0,0.008324038,1071
1070,40.0,0.008344026,1081
1080,40.0,0.008376117,1091
1090,40.0,0.008405996,1101
1100,40.0,0.00843327,1111
1110,40.0,0.00846381,1121
1120,40.0,0.008483126,1131
1130,40.0,0.008504318,1141
1140,40.0,0.008525294,1151
1150,42.0,0.008545266,1161
1160,42.0,0.008566827,1171
1170,42.0,0.008588746,1181
1180,42.0,0.008631984,1191
1190,42.0,0.008669214,1201
1200,43.0,0.008695112,1211
1210,43.0,0.008716968,1221
1220,46.0,0.00873849,1231
1230,46.0,0.008758692,1241
1240,46.0,0.008781318,1251
1250,46.0,0.008813661,1261
1260,48.0,0.008834584,1271
1270,48.0,0.009486512,1281
1280,48.0,0.009520488,1291
1290,48.0,0.009544019,1301
1300,48.0,0.009563401,1311
1310,50.0,0.009583055,1321
1320,50.0,0.009614261,1331
1330,50.0,0.009642659,1341
1340,50.0,0.009669442,1351
1350,50.0,0.009695064,1361
1360,50.0,0.009721589,1371
1370,50.0,0.009742397,1381
1380,50.0,0.009759992,1391
1390,51.0,0.009777848,1401
1400,51.0,0.0097945,1411
1410,54.0,0.009812008,1421
1420,54.0,0.009829976,1431
1430,55.0,0.009852258,1441
1440,58.0,0.009870794,1451
1450,58.0,0.009889336,1461
1460,58.0,0.009907268,1471
1470,58.0,0.009923947,1481
1480,58.0,0.009940421,1491
1490,58.0,0.009959483,1501
1500,58.0,0.009977555,1511
1510,58.0,0.009994896,1521
1520,58.0,0.010014134,1531
1530,61.0,0.010031464,1541
1540,63.0,0.010050103,1551
1550,63.0,0.010067043,1561
1560,63.0,0.010087575,1571
1570,63.0,0.010106222,1581
1580,64.0,0.01013436,1591
1590,64.0,0.010153436,1601
1600,64.0,0.010171759,1611
1610,64.0,0.010194651,1621
1620,64.0,0.010212494,1631
1630,64.0,0.010229966,1641
1640,64.0,0.01024607,1651
1650,64.0,0.010263538,1661
1660,64.0,0.010280797,1671
1670,64.0,0.010297298,1681
1680,64.0,0.010313593,1691
1690,64.0,0.010340746,1701
1700,64.0,0.010356404,1711
1710,64.0,0.010372421,1721
1720,64.0,0.010389532,1731
1730,64.0,0.01040553,1741
1740,64.0,0.010422233,1751
1750,64.0,0.010437519,1761
1760,64.0,0.010452768,1771
1770,64.0,0.010467919,1781
1780,64.0,0.010483538,1791
1790,64.0,0.010499789,1801
1800,64.0,0.010515085,1811
1810,64.0,0.010534341,1821
1820,65.0,0.010552538,1831
1830,65.0,0.010571252,1841
1840,65.0,0.010587675,1851
1850,65.0,0.010605505,1861
1860,65.0,0.010621938,1871
1870,65.0,0.010640597,1881
1880,65.0,0.010658623,1891
1890,65.0,0.010678412,1901
1900,65.0,0.01069752,1911
1910,65.0,0.010716477,1921
1920,65.0,0.010739643,1931
1930,67.0,0.010759137,1941
1940,68.0,0.01077603,1951
1950,68.0,0.010793658,1961
1960,68.0,0.010813676,1971
1970,68.0,0.010830567,1981
1980,68.0,0.010858197,1991
1990,68.0,0.010875077,2001
2000,68.0,0.010892986,2011
2010,72.0,0.010955189,2021
2020,72.0,0.010978122,2031
2030,72.0,0.010997122,2041
2040,73.0,0.011038505,2051
2050,73.0,0.011064608,2061
2060,73.0,0.011097966,2071
2070,73.0,0.011114777,2081
2080,73.0,0.011133867,2091
2090,73.0,0.011157131,2101
2100,73.0,0.011180935,2111
2110,73.0,0.011197426,2121
2120,73.0,0.011219153,2131
2130,73.0,0.011249479,2141
2140,73.0,0.011273423,2151
2150,73.0,0.011297465,2161
2160,73.0,0.011323385,2171
2170,73.0,0.011347249,2181
2180,73.0,0.011385463,2191
2190,73.0,0.011410078,2201
2200,73.0,0.011435172,2211
2210,73.0,0.011458616,2221
2220,73.0,0.011485311,2231
2230,73.0,0.011508418,2241
2240,73.0,0.011537751,2251
2250,73.0,0.01156006,2261
