iterations,fitness,time,fevals
0,11.0,1.6577e-05,11
10,14.0,3.0615e-05,21
20,15.0,4.3964e-05,31
30,18.0,5.626e-05,41
40,19.0,7.0134e-05,51
50,20.0,8.2811e-05,61
60,20.0,9.3493e-05,71
70,20.0,0.000104908,81
80,20.0,0.000115051,91
90,20.0,0.000126579,101
100,20.0,0.000139243,111
110,21.0,0.000152084,121
120,21.0,0.000162629,131
130,22.0,0.000181114,141
140,23.0,0.000193422,151
150,25.0,0.000204329,161
160,25.0,0.000214832,171
170,28.0,0.000226197,181
180,29.0,0.000237554,191
190,30.0,0.000250549,201
200,30.0,0.000260987,211
210,30.0,0.000271874,221
220,30.0,0.000286668,231
230,30.0,0.000297907,241
240,31.0,0.000312991,251
250,31.0,0.000324971,261
260,31.0,0.000334921,271
270,31.0,0.000344625,281
280,31.0,0.000355778,291
290,31.0,0.000366625,301
300,31.0,0.00037655,311
310,31.0,0.000386345,321
320,31.0,0.000397412,331
330,31.0,0.000409276,341
340,31.0,0.000428654,351
350,31.0,0.00044835,361
360,31.0,0.000468576,371
370,31.0,0.000488803,381
380,31.0,0.000508337,391
390,32.0,0.000526871,401
400,34.0,0.000544319,411
410,34.0,0.000563757,421
420,34.0,0.000581693,431
430,36.0,0.000598579,441
440,36.0,0.000612422,451
450,36.0,0.000624554,461
460,38.0,0.000634974,471
470,38.0,0.000644366,481
480,39.0,0.000655627,491
490,39.0,0.000690826,501
500,39.0,0.000709967,511
510,39.0,0.000727963,521
520,39.0,0.00074157,531
530,39.0,0.000765646,541
540,39.0,0.000776782,551
550,39.0,0.000785894,561
560,39.0,0.000821955,571
570,39.0,0.000833017,581
580,39.0,0.000843269,591
590,40.0,0.000853801,601
600,40.0,0.000865527,611
610,40.0,0.00087536,621
620,40.0,0.000891341,631
630,40.0,0.000903783,641
640,40.0,0.000915792,651
650,41.0,0.000934277,661
660,41.0,0.000945732,671
670,42.0,0.000957985,681
680,42.0,0.000969491,691
690,42.0,0.000981281,701
700,42.0,0.000993005,711
710,42.0,0.001004673,721
720,42.0,0.001015318,731
730,43.0,0.001039259,741
740,47.0,0.001052912,751
750,48.0,0.001067446,761
760,49.0,0.00107791,771
770,49.0,0.001088927,781
780,49.0,0.00109984,791
790,49.0,0.00111038,801
800,49.0,0.001121986,811
810,49.0,0.001132287,821
820,49.0,0.001142126,831
830,50.0,0.0011531,841
840,51.0,0.001163184,851
850,51.0,0.001172917,861
860,53.0,0.001182207,871
870,53.0,0.001192431,881
880,53.0,0.001202329,891
890,53.0,0.001211793,901
900,53.0,0.001222775,911
910,53.0,0.001232517,921
920,53.0,0.001243139,931
930,54.0,0.001255888,941
940,55.0,0.001265592,951
950,55.0,0.001275934,961
960,55.0,0.001286347,971
970,55.0,0.001297102,981
980,56.0,0.001307066,991
990,56.0,0.001316771,1001
1000,56.0,0.001327851,1011
1010,56.0,0.001338478,1021
1020,56.0,0.00134864,1031
1030,57.0,0.001359006,1041
1040,57.0,0.001369379,1051
1050,57.0,0.001379028,1061
1060,59.0,0.001389431,1071
1070,59.0,0.001400745,1081
1080,59.0,0.001412213,1091
1090,59.0,0.001421786,1101
1100,59.0,0.001442645,1111
1110,59.0,0.001453158,1121
1120,59.0,0.001462506,1131
1130,59.0,0.001473235,1141
1140,59.0,0.001483676,1151
1150,59.0,0.001493447,1161
1160,59.0,0.001503141,1171
1170,59.0,0.001512703,1181
1180,64.0,0.001522962,1191
1190,64.0,0.001533143,1201
1200,64.0,0.00154264,1211
1210,64.0,0.001552303,1221
