iterations,fitness,time,fevals
0,29.0,0.001448888,547
10,28.0,0.002524332,994
20,28.0,0.003546495,1436
30,29.0,0.004556135,1893
40,29.0,0.005550917,2356
50,31.0,0.006436635,2828
60,32.0,0.007295492,3277
70,32.0,0.008185829,3726
80,32.0,0.009040984,4182
90,33.0,0.009822693,4628
100,32.0,0.010614527,5091
110,32.0,0.011428053,5548
120,33.0,0.012264899,5994
130,33.0,0.013059521,6436
140,33.0,0.013870251,6905
150,32.0,0.01490062,7373
160,33.0,0.016017188,7831
170,34.0,0.016849827,8270
180,35.0,0.017677443,8724
190,36.0,0.018474483,9187
200,35.0,0.019302027,9645
210,35.0,0.020085518,10103
220,38.0,0.020948946,10556
230,36.0,0.025659652,11008
240,36.0,0.026583803,11452
250,36.0,0.027436881,11918
260,35.0,0.02822973,12360
270,36.0,0.029045972,12809
280,36.0,0.029902174,13276
290,35.0,0.030876169,13736
300,36.0,0.031809858,14200
310,38.0,0.032641867,14648
320,36.0,0.033502673,15106
330,36.0,0.034314361,15558
340,36.0,0.035113832,16016
350,38.0,0.035938347,16460
360,37.0,0.036795928,16917
370,38.0,0.03777079,17370
380,37.0,0.038969038,17819
390,38.0,0.039834966,18273
400,39.0,0.040815348,18724
410,40.0,0.041687805,19186
420,40.0,0.042510952,19634
430,39.0,0.043325629,20094
440,41.0,0.044108245,20540
450,41.0,0.044933289,21003
460,41.0,0.04575736,21469
470,40.0,0.046763731,21919
480,40.0,0.047992715,22382
490,42.0,0.048909706,22846
500,41.0,0.049745238,23308
510,42.0,0.050571002,23754
520,42.0,0.051388305,24215
530,42.0,0.052221079,24671
540,42.0,0.053043438,25132
550,41.0,0.053849674,25581
560,42.0,0.054660907,26041
570,42.0,0.055489193,26505
580,42.0,0.056310207,26961
590,42.0,0.057257954,27426
600,41.0,0.058074894,27861
610,41.0,0.058887384,28316
620,41.0,0.059813402,28767
630,42.0,0.060792451,29228
640,43.0,0.061629242,29688
650,43.0,0.062433121,30139
660,44.0,0.063382995,30589
670,44.0,0.064326122,31054
680,44.0,0.065160968,31515
690,48.0,0.066115982,31973
700,49.0,0.067096298,32418
710,49.0,0.068104962,32876
720,50.0,0.069085663,33321
730,50.0,0.070089987,33771
740,50.0,0.070962335,34204
750,49.0,0.071877438,34660
760,50.0,0.072736508,35123
770,49.0,0.073768654,35582
780,50.0,0.074655903,36027
790,50.0,0.075524768,36502
800,50.0,0.076351224,36948
810,51.0,0.077664869,37414
820,50.0,0.07849554,37875
830,51.0,0.079300497,38333
840,50.0,0.080129343,38784
850,52.0,0.080939967,39219
860,51.0,0.081754979,39681
870,50.0,0.083047254,40144
880,49.0,0.083944814,40599
890,52.0,0.084786685,41065
900,49.0,0.085629261,41522
910,50.0,0.086468602,41974
920,51.0,0.087303595,42423
930,51.0,0.088160835,42871
940,49.0,0.089111776,43317
950,49.0,0.08996903,43762
960,51.0,0.090839164,44221
970,51.0,0.09166981,44678
980,51.0,0.092506932,45123
990,52.0,0.093322261,45585
1000,51.0,0.094170683,46041
1010,50.0,0.09502715,46510
1020,51.0,0.095866661,46955
1030,51.0,0.096687559,47422
1040,51.0,0.097489671,47872
1050,52.0,0.098286919,48339
1060,51.0,0.099064855,48797
1070,51.0,0.099893093,49258
1080,53.0,0.100691317,49703
1090,51.0,0.101495856,50152
1100,51.0,0.102302258,50605
1110,50.0,0.103132146,51052
1120,50.0,0.103955397,51515
1130,51.0,0.104769496,51956
1140,51.0,0.10564304,52410
1150,52.0,0.106500029,52880
1160,52.0,0.107327324,53331
1170,52.0,0.108150558,53773
1180,52.0,0.108975464,54225
1190,53.0,0.109784672,54687
1200,53.0,0.110585993,55142
1210,54.0,0.111383979,55598
1220,53.0,0.112189763,56062
1230,53.0,0.11297223,56512
1240,53.0,0.113787387,56952
1250,53.0,0.114584189,57408
1260,53.0,0.115369609,57863
1270,52.0,0.116149509,58330
1280,52.0,0.116922085,58777
1290,52.0,0.117849074,59230
1300,51.0,0.118759548,59682
1310,52.0,0.119668945,60137
1320,53.0,0.120685928,60588
1330,52.0,0.12166893,61035
1340,53.0,0.122565814,61488
1350,53.0,0.123440991,61951
1360,53.0,0.124362506,62404
1370,53.0,0.125190036,62863
1380,52.0,0.126078874,63320
1390,52.0,0.12693692,63762
1400,52.0,0.127845499,64208
1410,53.0,0.128762044,64678
1420,53.0,0.129692904,65143
1430,54.0,0.130594416,65598
1440,54.0,0.13149365,66049
1450,54.0,0.132441631,66507
1460,54.0,0.13336923,66963
1470,54.0,0.134276415,67427
1480,54.0,0.13517399,67885
1490,56.0,0.136101801,68352
1500,58.0,0.137002218,68812
1510,55.0,0.138111016,69261
1520,55.0,0.139206359,69714
1530,55.0,0.140155613,70166
1540,56.0,0.141108936,70612
1550,56.0,0.142107095,71056
1560,58.0,0.143074752,71512
1570,58.0,0.14404008,71965
1580,57.0,0.145008031,72417
1590,57.0,0.145931944,72861
1600,57.0,0.146912184,73318
1610,63.0,0.1478095,73770
1620,58.0,0.148709185,74227
1630,63.0,0.149600017,74690
1640,60.0,0.150529083,75133
1650,59.0,0.151437384,75583
1660,64.0,0.152366381,76042
1670,62.0,0.153228585,76507
1680,62.0,0.15408512,76964
1690,63.0,0.154949172,77427
1700,64.0,0.15584136,77895
1710,64.0,0.156728278,78355
1720,64.0,0.157572345,78804
1730,64.0,0.158458508,79248
1740,64.0,0.159350236,79708
1750,64.0,0.160243691,80163
1760,65.0,0.161129055,80632
1770,63.0,0.16197659,81085
1780,63.0,0.16279463,81540
1790,64.0,0.163635171,82004
1800,64.0,0.164550584,82458
1810,64.0,0.165421463,82907
1820,64.0,0.166311602,83361
1830,64.0,0.167202848,83828
1840,64.0,0.168002668,84274
1850,64.0,0.168935122,84722
1860,64.0,0.169846166,85169
1870,64.0,0.170647363,85632
1880,65.0,0.171480365,86091
1890,65.0,0.172413573,86552
1900,65.0,0.173269316,87006
1910,65.0,0.174121782,87458
1920,66.0,0.175087906,87914
1930,66.0,0.175993708,88378
1940,66.0,0.176873276,88837
1950,66.0,0.177685894,89293
1960,66.0,0.17849796,89743
1970,66.0,0.179505082,90207
1980,66.0,0.180389827,90652
1990,67.0,0.181206901,91093
2000,65.0,0.182428409,91540
2010,67.0,0.183287752,92004
2020,66.0,0.184168542,92458
2030,65.0,0.185005682,92922
2040,62.0,0.18584353,93380
2050,64.0,0.186626084,93831
2060,63.0,0.187574374,94281
2070,63.0,0.188391152,94737
2080,63.0,0.189268955,95185
2090,63.0,0.190228906,95642
2100,64.0,0.191055157,96103
2110,65.0,0.19191453,96554
2120,66.0,0.192780962,97024
2130,65.0,0.193762501,97476
2140,65.0,0.194921693,97922
2150,65.0,0.19579555,98377
2160,65.0,0.196661508,98824
2170,63.0,0.197535338,99277
2180,63.0,0.198401715,99734
2190,62.0,0.199252609,100191
2200,62.0,0.20005921,100638
2210,63.0,0.201036821,101096
2220,63.0,0.201938176,101575
2230,63.0,0.202895225,102042
2240,63.0,0.203835825,102489
2250,63.0,0.204972872,102949
2260,64.0,0.205801282,103396
2270,63.0,0.206655322,103844
2280,65.0,0.207478201,104302
2290,63.0,0.208378929,104758
2300,63.0,0.209350473,105228
2310,63.0,0.210241331,105672
2320,64.0,0.211131573,106132
2330,64.0,0.211971482,106591
2340,64.0,0.212822892,107044
2350,64.0,0.213733544,107484
2360,63.0,0.214556005,107934
2370,64.0,0.215426051,108376
2380,63.0,0.216308282,108837
2390,64.0,0.217182762,109303
2400,64.0,0.218018723,109760
2410,62.0,0.218877901,110213
2420,63.0,0.21969656,110662
2430,65.0,0.220582875,111118
2440,64.0,0.221581778,111583
2450,63.0,0.222441032,112041
2460,63.0,0.223316575,112495
2470,64.0,0.224182154,112959
2480,63.0,0.225036347,113414
2490,64.0,0.225906955,113873
2500,66.0,0.226716558,114332
2510,66.0,0.227621112,114797
2520,67.0,0.228521556,115262
2530,64.0,0.229378849,115708
2540,63.0,0.230322465,116157
2550,67.0,0.231308515,116605
2560,64.0,0.232138766,117064
2570,64.0,0.23296709,117526
2580,66.0,0.233774115,117974
2590,66.0,0.234630459,118433
2600,67.0,0.235473763,118898
2610,66.0,0.236316676,119350
2620,68.0,0.237158395,119815
2630,65.0,0.237988328,120261
2640,64.0,0.238875117,120713
2650,66.0,0.239756941,121171
2660,65.0,0.240569639,121617
2670,65.0,0.24145018,122069
2680,64.0,0.242276781,122527
2690,67.0,0.243113507,122989
2700,66.0,0.243965096,123455
2710,65.0,0.244798192,123913
2720,63.0,0.245642983,124352
2730,66.0,0.246467882,124808
2740,65.0,0.247356472,125277
2750,65.0,0.248325954,125730
2760,64.0,0.24928716,126191
2770,63.0,0.250147109,126659
2780,64.0,0.251077844,127111
2790,64.0,0.251975657,127565
2800,63.0,0.252899928,128020
2810,64.0,0.253776519,128473
2820,64.0,0.254652223,128931
2830,65.0,0.255609826,129401
2840,62.0,0.256694683,129850
2850,62.0,0.257543718,130304
2860,63.0,0.258416791,130755
2870,63.0,0.259458059,131214
2880,62.0,0.260356683,131665
2890,61.0,0.261366118,132112
2900,62.0,0.262520874,132563
2910,62.0,0.263399245,133022
2920,63.0,0.264308697,133469
2930,62.0,0.265168867,133929
2940,62.0,0.266058105,134384
2950,62.0,0.267001302,134824
2960,61.0,0.267899655,135278
2970,63.0,0.268837448,135745
2980,61.0,0.269698626,136210
2990,61.0,0.270705385,136660
3000,62.0,0.271702837,137108
3010,64.0,0.272571558,137576
3020,64.0,0.273440246,138039
3030,65.0,0.274318703,138503
3040,66.0,0.275186038,138953
3050,66.0,0.276125823,139413
3060,66.0,0.277195998,139887
3070,67.0,0.278063123,140335
3080,68.0,0.278989052,140793
3090,67.0,0.279901194,141265
3100,66.0,0.280802421,141731
3110,66.0,0.281606862,142186
3120,67.0,0.28250394,142654
3130,67.0,0.283385015,143105
3140,68.0,0.284204232,143549
3150,68.0,0.285293194,144011
3160,65.0,0.286319593,144459
3170,66.0,0.287149263,144925
3180,63.0,0.287964983,145373
3190,64.0,0.288775501,145836
3200,64.0,0.28961193,146294
3210,65.0,0.290412615,146749
3220,63.0,0.291223217,147194
3230,64.0,0.292056962,147640
3240,65.0,0.292920573,148111
3250,65.0,0.293745969,148557
3260,63.0,0.294560074,149010
3270,64.0,0.295389283,149472
3280,64.0,0.296277471,149927
3290,63.0,0.297179566,150391
3300,65.0,0.298104386,150854
3310,65.0,0.298962812,151309
3320,65.0,0.299772875,151770
3330,66.0,0.300632606,152237
3340,67.0,0.301452712,152686
3350,66.0,0.302407275,153146
3360,67.0,0.303318067,153601
3370,67.0,0.304300411,154051
3380,69.0,0.305253346,154498
3390,69.0,0.306237678,154957
3400,69.0,0.307278132,155406
3410,69.0,0.308295662,155856
3420,69.0,0.30913723,156296
3430,69.0,0.309951457,156736
3440,69.0,0.310908868,157198
3450,70.0,0.311769216,157645
3460,69.0,0.31284338,158104
3470,69.0,0.313713526,158561
3480,70.0,0.314651017,159012
3490,70.0,0.315510604,159474
3500,70.0,0.316400394,159922
3510,71.0,0.317342159,160375
3520,71.0,0.318136649,160845
3530,71.0,0.318971017,161297
3540,70.0,0.319916151,161765
3550,69.0,0.320784817,162223
3560,70.0,0.321706497,162666
3570,70.0,0.322610057,163123
3580,70.0,0.323437326,163564
3590,70.0,0.324466387,164017
3600,70.0,0.325475169,164469
3610,71.0,0.326326897,164921
3620,73.0,0.327258358,165387
3630,71.0,0.328253653,165831
3640,70.0,0.329227882,166298
3650,70.0,0.330208457,166753
3660,70.0,0.331111042,167220
3670,70.0,0.331953509,167671
3680,70.0,0.332899692,168119
3690,71.0,0.333771523,168565
3700,70.0,0.334581999,169014
3710,68.0,0.335426657,169478
3720,72.0,0.336269588,169940
3730,69.0,0.337311255,170413
3740,71.0,0.338376522,170872
3750,74.0,0.339226976,171336
3760,74.0,0.34016285,171786
3770,74.0,0.341024754,172260
3780,79.0,0.341840562,172710
3790,78.0,0.342656533,173159
3800,76.0,0.343485292,173608
3810,76.0,0.344352159,174062
3820,77.0,0.345222484,174526
3830,78.0,0.346130396,175001
3840,78.0,0.347060071,175440
3850,78.0,0.347891204,175898
3860,78.0,0.348701439,176348
3870,78.0,0.349535807,176785
3880,78.0,0.350379403,177237
3890,78.0,0.351223152,177698
3900,78.0,0.352051341,178145
3910,78.0,0.352979432,178600
3920,79.0,0.353788741,179048
3930,77.0,0.354621584,179506
3940,77.0,0.355439709,179947
3950,77.0,0.356249153,180401
3960,78.0,0.357076684,180854
3970,77.0,0.357891855,181322
3980,77.0,0.358713395,181784
3990,77.0,0.359534513,182239
4000,78.0,0.36037009,182698
4010,77.0,0.361291699,183138
4020,78.0,0.362241049,183586
4030,83.0,0.36315599,184050
4040,83.0,0.364056567,184506
4050,83.0,0.36493297,184967
4060,83.0,0.365742518,185426
4070,84.0,0.366592279,185886
4080,78.0,0.367437081,186348
4090,78.0,0.368230435,186797
4100,78.0,0.369041328,187258
4110,78.0,0.369860375,187695
4120,78.0,0.370671906,188144
4130,77.0,0.371487446,188601
4140,77.0,0.372307613,189053
4150,77.0,0.373143635,189512
4160,77.0,0.37402615,189965
4170,78.0,0.374843734,190423
4180,79.0,0.375709316,190873
4190,78.0,0.376535383,191323
4200,78.0,0.377350035,191771
4210,79.0,0.37814627,192230
4220,79.0,0.379013765,192682
4230,79.0,0.383713045,193135
4240,79.0,0.384604074,193599
4250,80.0,0.385398481,194047
4260,81.0,0.386182845,194503
4270,81.0,0.386968496,194974
4280,80.0,0.387801079,195433
4290,82.0,0.388667194,195896
4300,82.0,0.389630261,196351
4310,82.0,0.390423342,196811
4320,82.0,0.391235185,197268
4330,95.0,0.392057244,197742
4340,95.0,0.392856893,198207
4350,83.0,0.393642538,198660
4360,87.0,0.394453497,199121
4370,83.0,0.395393804,199565
4380,82.0,0.396461915,200020
4390,82.0,0.397444825,200466
4400,83.0,0.39833024,200919
4410,84.0,0.399127909,201363
4420,83.0,0.399895036,201821
4430,82.0,0.40065632,202278
4440,83.0,0.401443852,202738
4450,84.0,0.402236594,203191
4460,83.0,0.403011425,203656
4470,85.0,0.403812058,204116
4480,83.0,0.404670511,204553
4490,83.0,0.405628162,204997
4500,87.0,0.40685488,205452
4510,88.0,0.40766718,205918
4520,85.0,0.408486528,206386
4530,84.0,0.409291458,206839
4540,85.0,0.41009524,207294
4550,85.0,0.410877158,207747
4560,85.0,0.411663374,208202
4570,85.0,0.412419579,208651
4580,89.0,0.413212581,209110
4590,85.0,0.414107112,209569
4600,85.0,0.414883711,210024
4610,86.0,0.415682034,210484
4620,85.0,0.416474788,210942
4630,85.0,0.417470532,211406
4640,85.0,0.418251864,211845
4650,86.0,0.419026158,212300
4660,86.0,0.419889271,212758
4670,85.0,0.420769195,213213
4680,85.0,0.421593265,213667
4690,91.0,0.422474875,214121
4700,90.0,0.42335137,214574
4710,87.0,0.424384713,215027
4720,87.0,0.425387727,215483
4730,90.0,0.426381833,215933
4740,90.0,0.427336485,216381
4750,92.0,0.428264354,216839
4760,92.0,0.429061185,217297
4770,92.0,0.429996342,217763
4780,91.0,0.430867497,218224
4790,93.0,0.431803995,218683
4800,93.0,0.432607279,219134
4810,97.0,0.433406298,219602
4820,92.0,0.434191901,220059
4830,94.0,0.435015763,220512
4840,95.0,0.435804718,220982
4850,95.0,0.43660492,221440
4860,95.0,0.437372582,221891
4870,94.0,0.438151552,222360
4880,93.0,0.438965875,222812
4890,91.0,0.439743772,223268
4900,91.0,0.4405484,223736
4910,88.0,0.441341558,224197
4920,89.0,0.442132477,224643
4930,92.0,0.442917494,225086
4940,89.0,0.443826047,225543
4950,91.0,0.444619476,225994
4960,90.0,0.445703701,226454
4970,90.0,0.447169565,226911
4980,88.0,0.447955042,227363
4990,87.0,0.448756709,227817
5000,92.0,0.449577222,228271
