iterations,fitness,time,fevals
0,33.0,0.370556765,1000
10,38.0,0.715082955,2100
20,44.0,1.045277224,3200
30,54.0,1.354266043,4300
40,48.0,1.646211797,5400
50,53.0,1.932562508,6500
60,55.0,2.213234641,7600
70,56.0,2.497685867,8700
80,56.0,2.777387176,9800
90,63.0,3.058491038,10900
100,57.0,3.33777011,12000
110,64.0,3.616533564,13100
120,62.0,3.895155805,14200
130,58.0,4.174779643,15300
140,61.0,4.458812378,16400
150,63.0,4.743350632,17500
160,62.0,5.026031406,18600
170,63.0,5.304601409,19700
180,62.0,5.580982722,20800
190,64.0,5.859526385,21900
200,64.0,6.144801396,23000
210,63.0,6.428299813,24100
220,65.0,6.712574881,25200
230,60.0,6.994248106,26300
240,61.0,7.282052689,27400
250,64.0,7.56571994,28500
260,63.0,7.84999667,29600
270,64.0,8.135223376,30700
280,65.0,8.424129156,31800
290,62.0,8.712343861,32900
300,62.0,8.987160195,34000
310,63.0,9.273747301,35100
320,62.0,9.554219187,36200
330,66.0,9.842032622,37300
340,67.0,10.125148635,38400
350,70.0,10.416775169,39500
360,70.0,10.702416245,40600
370,69.0,10.987347327,41700
380,62.0,11.277608877,42800
390,57.0,11.574533328,43900
400,63.0,11.863324308,45000
410,60.0,12.15700922,46100
420,64.0,12.438467672,47200
430,70.0,12.720872653,48300
440,61.0,13.004678366,49400
450,63.0,13.278998785,50500
460,59.0,13.561287345,51600
470,59.0,13.838660194,52700
480,62.0,14.119265222,53800
490,63.0,14.399858527,54900
500,59.0,14.684038147,56000
510,60.0,14.972338955,57100
520,59.0,15.263047961,58200
530,58.0,15.559101392,59300
540,63.0,15.845847394,60400
550,61.0,16.131487999,61500
560,65.0,16.42388449,62600
570,60.0,16.709431695,63700
580,62.0,16.993685416,64800
590,65.0,17.285993917,65900
600,60.0,17.578750413,67000
610,59.0,17.867598131,68100
620,62.0,18.169767033,69200
630,59.0,18.466841914,70300
640,64.0,18.756910916,71400
650,58.0,19.054588324,72500
660,61.0,19.348921533,73600
670,58.0,19.637904646,74700
680,59.0,19.93325649,75800
690,59.0,20.224111834,76900
700,61.0,20.518394111,78000
710,60.0,20.801475303,79100
720,62.0,21.082817191,80200
730,66.0,21.368971079,81300
740,64.0,21.655980641,82400
750,62.0,21.941599483,83500
760,63.0,22.226243823,84600
770,64.0,22.511931041,85700
780,58.0,22.799266056,86800
790,59.0,23.093436537,87900
800,61.0,23.385360535,89000
810,59.0,23.682297315,90100
820,58.0,23.975293534,91200
830,56.0,24.27039338,92300
840,56.0,24.562435945,93400
850,60.0,24.847820081,94500
860,64.0,25.139191823,95600
870,60.0,25.453275005,96700
880,62.0,25.75515005,97800
890,63.0,26.050701627,98900
900,61.0,26.346981156,100000
910,60.0,26.64153112,101100
920,67.0,26.932307965,102200
930,66.0,27.230787592,103300
940,60.0,27.528210638,104400
950,63.0,27.816464056,105500
960,65.0,28.107392975,106600
970,66.0,28.399198459,107700
980,67.0,28.691082345,108800
990,62.0,28.981344355,109900
1000,62.0,29.275806163,111000
1010,62.0,29.57215811,112100
1020,63.0,29.859534289,113200
1030,62.0,30.14587415,114300
1040,63.0,30.440153633,115400
1050,62.0,30.729982205,116500
1060,61.0,31.023780557,117600
1070,63.0,31.319918536,118700
1080,60.0,31.619326106,119800
1090,66.0,31.912207714,120900
1100,66.0,32.205583834,122000
1110,65.0,32.499915391,123100
1120,65.0,32.794064542,124200
1130,60.0,33.086742245,125300
1140,63.0,33.388959851,126400
1150,65.0,33.685843513,127500
1160,68.0,33.981739403,128600
1170,72.0,34.280107323,129700
1180,69.0,34.57104608,130800
1190,68.0,34.861081477,131900
1200,67.0,35.155298531,133000
