iterations,fitness,time,fevals
0,20.0,0.00078316,11
10,20.0,0.001323477,21
20,20.0,0.001855967,31
30,21.0,0.002323651,41
40,21.0,0.002777482,51
50,21.0,0.003261231,61
60,21.0,0.003712162,71
70,21.0,0.004160668,81
80,21.0,0.00461681,91
90,22.0,0.005017318,101
100,22.0,0.005260656,111
110,23.0,0.005634456,121
120,23.0,0.005871529,131
130,24.0,0.006036936,141
140,24.0,0.006218076,151
150,24.0,0.006988442,161
160,24.0,0.007220769,171
170,25.0,0.007413682,181
180,25.0,0.007603472,191
190,25.0,0.00778845,201
200,25.0,0.007968021,211
210,25.0,0.00814806,221
220,25.0,0.008344821,231
230,25.0,0.008517782,241
240,25.0,0.008691422,251
250,25.0,0.008882865,261
260,25.0,0.009091564,271
270,25.0,0.009257406,281
280,25.0,0.009437617,291
290,25.0,0.009595342,301
300,25.0,0.009939997,311
310,25.0,0.010146868,321
320,26.0,0.010311069,331
330,26.0,0.010561019,341
340,26.0,0.010719344,351
350,26.0,0.010883083,361
360,26.0,0.01104146,371
370,26.0,0.011194607,381
380,26.0,0.011382718,391
390,26.0,0.011541772,401
400,26.0,0.011804676,411
410,26.0,0.011961266,421
420,26.0,0.012152603,431
430,27.0,0.012358566,441
440,27.0,0.012576053,451
450,27.0,0.012736829,461
460,27.0,0.012935066,471
470,27.0,0.013055639,481
480,27.0,0.013194274,491
490,27.0,0.013285132,501
500,27.0,0.013382323,511
510,27.0,0.013530463,521
520,27.0,0.013604372,531
530,27.0,0.013635668,541
540,27.0,0.013668648,551
550,28.0,0.01369771,561
560,29.0,0.013742542,571
570,29.0,0.013783947,581
580,32.0,0.013817125,591
590,32.0,0.013850155,601
600,32.0,0.014004845,611
610,32.0,0.014052494,621
620,32.0,0.014102905,631
630,32.0,0.014135025,641
640,33.0,0.014175711,651
650,33.0,0.014205184,661
660,33.0,0.01423377,671
670,33.0,0.014265005,681
680,33.0,0.014293542,691
690,34.0,0.014324909,701
700,34.0,0.014356898,711
710,38.0,0.014387765,721
720,39.0,0.014421935,731
730,43.0,0.014454369,741
740,43.0,0.014484041,751
750,43.0,0.014521842,761
760,43.0,0.014552827,771
770,43.0,0.014589614,781
780,43.0,0.014621161,791
790,45.0,0.014667381,801
800,45.0,0.014699153,811
810,46.0,0.014731852,821
820,46.0,0.014809713,831
830,46.0,0.014837227,841
840,46.0,0.014863463,851
850,46.0,0.014893313,861
860,46.0,0.014921715,871
870,46.0,0.014947695,881
880,46.0,0.014982935,891
890,46.0,0.015009382,901
900,46.0,0.015047368,911
910,46.0,0.015075181,921
920,46.0,0.015105972,931
930,46.0,0.015133608,941
940,47.0,0.015160663,951
950,47.0,0.015197479,961
960,47.0,0.01522869,971
970,47.0,0.015257323,981
980,47.0,0.015283886,991
990,47.0,0.015312712,1001
1000,47.0,0.0153383,1011
1010,47.0,0.015365505,1021
1020,47.0,0.015396576,1031
1030,48.0,0.015425486,1041
1040,48.0,0.015453909,1051
1050,48.0,0.015485383,1061
1060,48.0,0.01551203,1071
1070,49.0,0.015538747,1081
1080,49.0,0.015586827,1091
1090,49.0,0.015633606,1101
1100,49.0,0.015661448,1111
1110,49.0,0.015686591,1121
1120,51.0,0.015713671,1131
1130,51.0,0.015745744,1141
1140,53.0,0.015772476,1151
1150,53.0,0.015800447,1161
1160,54.0,0.015825394,1171
1170,54.0,0.015852118,1181
1180,54.0,0.015877775,1191
1190,54.0,0.015903435,1201
1200,54.0,0.01593331,1211
1210,54.0,0.015960876,1221
1220,54.0,0.016005263,1231
1230,54.0,0.016037431,1241
1240,54.0,0.016072679,1251
1250,54.0,0.016105669,1261
1260,54.0,0.016141191,1271
1270,54.0,0.016172734,1281
1280,54.0,0.016203087,1291
1290,54.0,0.016237668,1301
1300,54.0,0.016262,1311
1310,54.0,0.016321061,1321
1320,54.0,0.016353861,1331
1330,54.0,0.016379017,1341
1340,54.0,0.016402435,1351
1350,54.0,0.016425923,1361
1360,54.0,0.01644843,1371
1370,54.0,0.016473898,1381
1380,54.0,0.016504624,1391
1390,54.0,0.016526092,1401
1400,54.0,0.016548896,1411
1410,54.0,0.016573312,1421
1420,54.0,0.016597928,1431
1430,54.0,0.016625321,1441
1440,54.0,0.01665057,1451
1450,54.0,0.016674313,1461
1460,54.0,0.016699638,1471
1470,54.0,0.016729184,1481
1480,54.0,0.016753248,1491
1490,54.0,0.016781029,1501
