iterations,fitness,time,fevals
0,21.0,2.2783e-05,11
10,21.0,3.8258e-05,21
20,21.0,5.2536e-05,31
30,21.0,6.8247e-05,41
40,17.0,8.01e-05,51
50,17.0,9.2905e-05,61
60,17.0,0.000104688,71
70,17.0,0.000116777,81
80,20.0,0.00013035,91
90,19.0,0.000141995,101
100,17.0,0.000155818,111
110,21.0,0.000169578,121
120,19.0,0.000182449,131
130,21.0,0.000195196,141
140,17.0,0.000207646,151
150,19.0,0.000220249,161
160,19.0,0.000233127,171
170,18.0,0.000246781,181
180,17.0,0.000261223,191
190,16.0,0.00027367,201
200,17.0,0.0002862,211
210,16.0,0.000298208,221
220,17.0,0.000312483,231
230,21.0,0.000326896,241
240,17.0,0.000339088,251
250,17.0,0.000361995,261
260,17.0,0.000378127,271
270,18.0,0.000392592,281
280,19.0,0.000407804,291
290,17.0,0.000423062,301
300,20.0,0.000437062,311
310,20.0,0.000449722,321
320,19.0,0.000462189,331
330,19.0,0.000475502,341
340,19.0,0.000486181,351
350,23.0,0.000499795,361
360,20.0,0.000515719,371
370,23.0,0.000531976,381
380,23.0,0.00054427,391
390,20.0,0.000561978,401
400,21.0,0.0005762,411
410,22.0,0.000588156,421
420,24.0,0.000602024,431
430,24.0,0.000614015,441
440,25.0,0.000628009,451
450,25.0,0.000639427,461
460,25.0,0.000650979,471
470,25.0,0.000664114,481
480,25.0,0.000677833,491
490,25.0,0.000692982,501
500,25.0,0.000727235,511
510,25.0,0.00077581,521
520,25.0,0.000811819,531
530,25.0,0.001052736,541
540,25.0,0.001088829,551
550,25.0,0.001105991,561
560,25.0,0.001118849,571
570,27.0,0.001133777,581
580,27.0,0.001148281,591
590,27.0,0.001162375,601
600,27.0,0.001177793,611
610,27.0,0.001191944,621
620,27.0,0.001207424,631
630,27.0,0.00122296,641
640,27.0,0.001237189,651
650,27.0,0.001252495,661
660,27.0,0.001271165,671
670,27.0,0.001293399,681
680,27.0,0.001308745,691
690,27.0,0.001321077,701
