iterations,fitness,time,fevals
0,568.0,15.526815448,1000
10,621.0,28.397214261,2100
20,669.0,39.912486887,3200
30,701.0,51.101350117,4300
40,717.0,60.472603025,5400
50,725.0,70.372233149,6500
60,731.0,78.812518014,7600
70,729.0,87.760573211,8700
80,729.0,96.67042699,9800
90,729.0,105.32820546,10900
100,729.0,114.604045797,12000
110,729.0,123.810961093,13100
120,731.0,132.553353567,14200
130,733.0,140.964243736,15300
140,731.0,150.230183125,16400
150,735.0,159.835137148,17500
160,735.0,168.826030478,18600
170,735.0,177.455937177,19700
180,735.0,185.646618946,20800
190,735.0,194.399217373,21900
200,735.0,203.380088163,23000
210,733.0,212.170293646,24100
220,737.0,221.298996383,25200
230,735.0,230.450513347,26300
240,739.0,238.733268279,27400
250,737.0,247.69332444,28500
260,737.0,256.668878808,29600
270,737.0,266.089530435,30700
280,739.0,275.067394236,31800
290,737.0,283.908403155,32900
300,737.0,293.061391299,34000
310,739.0,301.732086957,35100
320,737.0,310.249352015,36200
330,739.0,318.825621975,37300
340,737.0,327.553343132,38400
350,739.0,336.234140748,39500
360,739.0,344.9602438,40600
370,739.0,353.748155944,41700
380,739.0,363.047940292,42800
390,739.0,372.200894474,43900
400,739.0,380.931719764,45000
410,739.0,389.851800237,46100
420,739.0,398.988008377,47200
430,743.0,407.850855924,48300
440,741.0,416.628208942,49400
450,741.0,425.412706524,50500
460,741.0,434.086753904,51600
470,741.0,443.076567045,52700
480,741.0,451.85626512,53800
490,741.0,460.407230738,54900
500,743.0,469.198672221,56000
510,741.0,478.006275275,57100
520,741.0,486.999759198,58200
530,743.0,495.499270501,59300
540,741.0,504.309687105,60400
550,741.0,512.989398042,61500
560,743.0,521.921657747,62600
570,743.0,530.85436592,63700
580,745.0,539.594209913,64800
590,743.0,548.529682345,65900
600,745.0,557.360049276,67000
610,745.0,567.13384498,68100
620,743.0,576.113706017,69200
630,745.0,585.103866789,70300
640,745.0,594.632661576,71400
650,745.0,603.706289139,72500
660,747.0,612.368565496,73600
670,745.0,621.034964007,74700
680,745.0,630.425657405,75800
690,745.0,639.188844118,76900
700,745.0,647.859577228,78000
710,745.0,656.411603497,79100
720,751.0,665.750349677,80200
730,751.0,675.169638527,81300
740,755.0,684.147209585,82400
750,753.0,693.556198894,83500
760,753.0,702.238927937,84600
770,753.0,710.935730051,85700
780,753.0,719.396909106,86800
790,753.0,728.102483495,87900
800,753.0,736.788109969,89000
810,753.0,745.371640247,90100
820,753.0,753.923474906,91200
830,753.0,762.84075187,92300
840,755.0,771.65804344,93400
850,753.0,780.509577504,94500
860,753.0,788.928211264,95600
870,753.0,797.450597511,96700
880,755.0,806.079324256,97800
890,755.0,814.860650735,98900
900,751.0,823.648785976,100000
910,751.0,832.752727308,101100
920,755.0,841.397447119,102200
930,753.0,850.011811294,103300
940,753.0,859.000355316,104400
950,753.0,867.781647455,105500
960,753.0,876.34037554,106600
970,753.0,885.006956882,107700
980,755.0,894.368502829,108800
990,755.0,903.424300422,109900
1000,757.0,912.423953441,111000
1010,759.0,921.149838332,112100
1020,761.0,930.205296903,113200
1030,761.0,938.742979086,114300
1040,761.0,947.690388073,115400
1050,761.0,956.091890715,116500
1060,761.0,964.939892153,117600
1070,761.0,973.776655029,118700
1080,761.0,982.938397533,119800
1090,761.0,991.585266725,120900
1100,761.0,1000.42628956,122000
1110,761.0,1009.37817138,123100
1120,761.0,1018.05709773,124200
1130,761.0,1026.88081986,125300
1140,761.0,1035.42168591,126400
1150,763.0,1044.12208616,127500
1160,763.0,1052.62504274,128600
1170,765.0,1060.9216754,129700
1180,763.0,1069.960645,130800
1190,763.0,1078.45065021,131900
1200,763.0,1087.1025547,133000
1210,763.0,1095.94978654,134100
1220,761.0,1104.57416487,135200
1230,763.0,1113.30198526,136300
1240,761.0,1122.21870268,137400
1250,763.0,1130.78339654,138500
1260,763.0,1139.53264937,139600
1270,763.0,1148.00013906,140700
1280,763.0,1156.47645995,141800
1290,767.0,1164.90522455,142900
1300,765.0,1173.68884219,144000
1310,765.0,1182.69526301,145100
1320,769.0,1191.51747849,146200
1330,769.0,1200.34182334,147300
1340,769.0,1209.31914092,148400
1350,769.0,1218.2026656,149500
1360,767.0,1227.21949147,150600
1370,769.0,1236.15093396,151700
1380,769.0,1245.56804878,152800
1390,767.0,1254.61670293,153900
1400,769.0,1263.44043134,155000
1410,769.0,1272.15404558,156100
1420,771.0,1280.9656932,157200
1430,769.0,1289.74812952,158300
1440,771.0,1298.76019743,159400
1450,767.0,1307.6048479,160500
1460,767.0,1316.24542568,161600
1470,769.0,1324.92857351,162700
1480,767.0,1333.30695713,163800
1490,769.0,1341.69101618,164900
1500,769.0,1350.0349678,166000
1510,771.0,1358.4228474,167100
1520,769.0,1366.58818278,168200
1530,771.0,1374.93252475,169300
1540,771.0,1383.46739961,170400
1550,771.0,1391.69797114,171500
1560,769.0,1400.39975699,172600
1570,771.0,1409.31849854,173700
1580,769.0,1417.66008899,174800
1590,771.0,1426.26722291,175900
1600,771.0,1434.6837894,177000
1610,773.0,1443.05352993,178100
1620,773.0,1451.43780302,179200
1630,773.0,1459.73806046,180300
1640,777.0,1468.05712559,181400
1650,777.0,1476.04597327,182500
1660,773.0,1485.23254887,183600
1670,775.0,1493.59470943,184700
1680,775.0,1501.9517079,185800
1690,777.0,1510.57337988,186900
1700,773.0,1518.73229698,188000
1710,775.0,1527.2932144,189100
1720,777.0,1535.96620744,190200
1730,777.0,1544.61386929,191300
1740,775.0,1553.31372251,192400
1750,775.0,1561.93348855,193500
1760,775.0,1570.64366564,194600
1770,775.0,1579.29180983,195700
1780,777.0,1587.46853505,196800
1790,777.0,1595.94859005,197900
1800,779.0,1604.60169758,199000
1810,779.0,1613.05890278,200100
1820,779.0,1621.53886363,201200
1830,777.0,1630.35824219,202300
1840,779.0,1638.99940157,203400
1850,777.0,1647.24812017,204500
1860,779.0,1655.65665116,205600
1870,779.0,1664.33592527,206700
1880,779.0,1672.73628777,207800
1890,779.0,1681.56879411,208900
1900,779.0,1689.76724442,210000
1910,777.0,1698.5805389,211100
1920,777.0,1707.1128185,212200
1930,777.0,1715.68932832,213300
1940,777.0,1724.59025402,214400
1950,781.0,1732.90823994,215500
1960,779.0,1741.60509499,216600
1970,779.0,1749.98076666,217700
1980,781.0,1758.32208817,218800
1990,779.0,1767.08809575,219900
2000,779.0,1775.47716892,221000
2010,779.0,1784.07311424,222100
2020,779.0,1792.87840711,223200
2030,779.0,1801.19894066,224300
2040,779.0,1809.6546032,225400
2050,781.0,1818.50799491,226500
2060,781.0,1827.13695376,227600
2070,779.0,1835.80113898,228700
2080,781.0,1844.56042621,229800
2090,781.0,1853.12274424,230900
2100,781.0,1861.70936095,232000
2110,781.0,1870.044037,233100
2120,779.0,1878.46126746,234200
2130,781.0,1886.76097752,235300
2140,781.0,1895.23004045,236400
2150,781.0,1903.56402908,237500
2160,779.0,1912.48282189,238600
2170,781.0,1921.09670691,239700
2180,781.0,1929.2014519,240800
2190,781.0,1937.54902803,241900
2200,781.0,1945.63805769,243000
2210,781.0,1953.86364444,244100
2220,781.0,1962.26760119,245200
2230,783.0,1970.39975575,246300
2240,783.0,1978.32889729,247400
2250,785.0,1986.44300581,248500
2260,781.0,1994.36540936,249600
2270,781.0,2003.11004743,250700
2280,783.0,2011.34697644,251800
2290,783.0,2019.60125218,252900
2300,783.0,2027.79643507,254000
2310,781.0,2036.59231801,255100
2320,781.0,2044.97124207,256200
2330,781.0,2053.48808278,257300
2340,783.0,2061.63529687,258400
2350,781.0,2069.8872217,259500
2360,783.0,2078.09811723,260600
2370,781.0,2086.61215632,261700
2380,785.0,2095.23740252,262800
2390,783.0,2103.53595963,263900
2400,783.0,2111.9741379,265000
2410,781.0,2120.80986369,266100
2420,783.0,2129.3198049,267200
2430,783.0,2137.89815204,268300
2440,781.0,2146.12297348,269400
2450,783.0,2154.80641732,270500
2460,783.0,2163.15297361,271600
2470,783.0,2171.56294643,272700
2480,783.0,2179.99988276,273800
2490,783.0,2188.09783207,274900
2500,783.0,2196.03720195,276000
2510,783.0,2204.2385995,277100
2520,783.0,2212.42913159,278200
2530,783.0,2221.45849457,279300
2540,783.0,2229.85696509,280400
2550,783.0,2238.17095073,281500
2560,785.0,2246.02808413,282600
2570,785.0,2253.79769703,283700
2580,785.0,2261.78028204,284800
2590,785.0,2270.11990021,285900
2600,785.0,2278.36590504,287000
2610,785.0,2286.30830392,288100
2620,785.0,2294.82154964,289200
2630,787.0,2303.37753349,290300
2640,783.0,2312.08354606,291400
2650,785.0,2320.70308769,292500
2660,785.0,2328.96123704,293600
2670,787.0,2336.91085681,294700
2680,785.0,2345.02782925,295800
2690,787.0,2353.41077638,296900
2700,787.0,2361.66140243,298000
2710,787.0,2370.01592082,299100
2720,785.0,2378.51711933,300200
2730,787.0,2386.53734908,301300
2740,787.0,2394.86094002,302400
2750,787.0,2403.47149166,303500
2760,787.0,2411.81396155,304600
2770,785.0,2420.24425429,305700
2780,787.0,2428.48622339,306800
2790,787.0,2436.80368945,307900
2800,785.0,2445.14665996,309000
2810,787.0,2453.44644607,310100
2820,787.0,2461.63115387,311200
2830,787.0,2469.55224022,312300
2840,785.0,2477.93201103,313400
2850,785.0,2485.78724614,314500
2860,789.0,2494.62413778,315600
2870,785.0,2502.9652348,316700
2880,787.0,2510.98743419,317800
2890,787.0,2519.44283033,318900
2900,785.0,2528.28583283,320000
2910,785.0,2536.94452397,321100
2920,785.0,2545.37368055,322200
2930,785.0,2553.79940025,323300
2940,791.0,2562.55228502,324400
2950,787.0,2570.99725034,325500
2960,785.0,2579.5113069,326600
2970,787.0,2588.1276342,327700
2980,787.0,2596.68240693,328800
2990,787.0,2605.10786113,329900
3000,787.0,2613.72544355,331000
