iterations,fitness,time,fevals
0,503.0,0.001598493,11
10,505.0,0.002622476,21
20,509.0,0.003644798,31
30,513.0,0.004624958,41
40,515.0,0.005601624,51
50,519.0,0.006620804,61
60,525.0,0.007157748,71
70,525.0,0.007580579,81
80,529.0,0.007924713,91
90,531.0,0.008245472,101
100,533.0,0.008581473,111
110,533.0,0.008919778,121
120,535.0,0.009308485,131
130,537.0,0.009698502,141
140,539.0,0.010025201,151
150,541.0,0.010782837,161
160,541.0,0.011357274,171
170,543.0,0.011684231,181
180,545.0,0.01201311,191
190,547.0,0.012350651,201
200,553.0,0.012672887,211
210,555.0,0.01302713,221
220,555.0,0.013344393,231
230,559.0,0.013666515,241
240,561.0,0.014143341,251
250,561.0,0.014751289,261
260,563.0,0.015176961,271
270,563.0,0.015588069,281
280,565.0,0.015923266,291
290,567.0,0.016272895,301
300,569.0,0.016733318,311
310,569.0,0.017086069,321
320,571.0,0.017481402,331
330,571.0,0.017910772,341
340,571.0,0.018293054,351
350,571.0,0.018674405,361
360,573.0,0.019051929,371
370,573.0,0.019464081,381
380,573.0,0.019646834,391
390,575.0,0.019792106,401
400,577.0,0.019971073,411
410,577.0,0.020120401,421
420,577.0,0.020262396,431
430,577.0,0.020416573,441
440,579.0,0.020584116,451
450,579.0,0.020734132,461
460,581.0,0.020884405,471
470,581.0,0.021043276,481
480,581.0,0.021180738,491
490,585.0,0.021346136,501
500,589.0,0.021491179,511
510,591.0,0.021570866,521
520,597.0,0.021618312,531
530,597.0,0.021685838,541
540,597.0,0.021747214,551
550,599.0,0.021794292,561
560,601.0,0.021838921,571
570,601.0,0.021883985,581
580,605.0,0.021930005,591
590,605.0,0.021976893,601
600,609.0,0.022026012,611
610,609.0,0.02208823,621
620,611.0,0.022165474,631
630,611.0,0.022229365,641
640,615.0,0.022289924,651
650,621.0,0.022348725,661
660,621.0,0.022406228,671
670,621.0,0.022470132,681
680,621.0,0.022533813,691
690,623.0,0.0225916,701
700,623.0,0.022652296,711
710,627.0,0.022710776,721
