iterations,fitness,time,fevals
0,481.0,5.9217e-05,11
10,479.0,0.000105623,21
20,485.0,0.00014965,31
30,483.0,0.000189302,41
40,483.0,0.000235501,51
50,489.0,0.000278419,61
60,489.0,0.0003209,71
70,489.0,0.000363905,81
80,497.0,0.000407051,91
90,501.0,0.000462906,101
100,503.0,0.000507746,111
110,503.0,0.000549599,121
120,505.0,0.000591464,131
130,507.0,0.000637636,141
140,511.0,0.000680664,151
150,511.0,0.000726094,161
160,511.0,0.000782252,171
170,511.0,0.000825236,181
180,515.0,0.000868955,191
190,519.0,0.000911983,201
200,519.0,0.000954593,211
210,521.0,0.000998271,221
220,527.0,0.001041583,231
230,537.0,0.001091635,241
240,539.0,0.001136957,251
250,541.0,0.001189023,261
260,541.0,0.001231933,271
270,545.0,0.001274283,281
280,547.0,0.001316391,291
290,549.0,0.001359262,301
300,549.0,0.001410764,311
310,553.0,0.00145376,321
320,555.0,0.001497488,331
330,559.0,0.001541342,341
340,563.0,0.001585115,351
350,563.0,0.001630544,361
360,563.0,0.001689077,371
370,565.0,0.00173436,381
380,567.0,0.001777308,391
390,571.0,0.001821129,401
400,571.0,0.001864876,411
410,573.0,0.001910354,421
420,573.0,0.001954238,431
430,579.0,0.002008122,441
440,579.0,0.002051452,451
450,583.0,0.002096805,461
460,585.0,0.002147396,471
470,587.0,0.002193205,481
480,587.0,0.002247083,491
490,589.0,0.002293184,501
500,595.0,0.002338555,511
510,597.0,0.002384478,521
520,597.0,0.002429321,531
530,597.0,0.002473804,541
540,599.0,0.002517024,551
550,605.0,0.002560939,561
560,609.0,0.002612707,571
570,615.0,0.002660472,581
580,617.0,0.002704533,591
590,619.0,0.002750473,601
600,621.0,0.002795582,611
610,621.0,0.002838593,621
620,621.0,0.002882348,631
630,621.0,0.002926289,641
640,621.0,0.002970854,651
650,621.0,0.003015491,661
660,625.0,0.003059631,671
670,625.0,0.003103872,681
680,625.0,0.003149705,691
690,627.0,0.003192683,701
700,627.0,0.003238064,711
710,629.0,0.003281946,721
720,631.0,0.003327332,731
730,631.0,0.003370441,741
740,631.0,0.00343012,751
750,633.0,0.003473497,761
760,633.0,0.00351744,771
770,633.0,0.003568611,781
780,633.0,0.003615559,791
790,633.0,0.003660852,801
800,635.0,0.00370528,811
810,637.0,0.003748714,821
820,639.0,0.003794462,831
830,639.0,0.003840942,841
840,641.0,0.003887013,851
850,641.0,0.003931137,861
860,641.0,0.003977775,871
870,643.0,0.004023166,881
880,643.0,0.004068546,891
890,643.0,0.004120625,901
900,643.0,0.00416445,911
910,643.0,0.004216635,921
920,645.0,0.004261382,931
930,645.0,0.004305687,941
940,651.0,0.004350507,951
950,651.0,0.004395264,961
960,655.0,0.004440249,971
970,655.0,0.004485272,981
980,655.0,0.004537544,991
990,659.0,0.00458467,1001
1000,659.0,0.004628981,1011
1010,665.0,0.004673523,1021
1020,665.0,0.004717403,1031
1030,667.0,0.004760575,1041
1040,667.0,0.004812511,1051
1050,667.0,0.004864898,1061
1060,667.0,0.004909315,1071
1070,667.0,0.004953417,1081
1080,667.0,0.004997972,1091
1090,669.0,0.005042373,1101
1100,671.0,0.005123881,1111
1110,671.0,0.005180776,1121
1120,677.0,0.005228067,1131
1130,677.0,0.005274247,1141
1140,677.0,0.005318083,1151
1150,677.0,0.005351096,1161
1160,677.0,0.005382356,1171
1170,679.0,0.005413939,1181
1180,679.0,0.005445859,1191
1190,679.0,0.005477918,1201
1200,679.0,0.005510754,1211
1210,679.0,0.0055468,1221
1220,681.0,0.005579469,1231
1230,681.0,0.005613778,1241
1240,681.0,0.005645408,1251
1250,685.0,0.005687997,1261
1260,687.0,0.005729446,1271
1270,687.0,0.005774505,1281
1280,689.0,0.005821401,1291
1290,689.0,0.005866567,1301
1300,691.0,0.005913083,1311
1310,691.0,0.005968651,1321
1320,693.0,0.006149312,1331
1330,693.0,0.006206719,1341
1340,693.0,0.006253038,1351
1350,693.0,0.006309554,1361
1360,693.0,0.006358579,1371
1370,695.0,0.006407043,1381
1380,695.0,0.006455076,1391
1390,695.0,0.006500739,1401
1400,695.0,0.006559421,1411
1410,695.0,0.006605847,1421
1420,695.0,0.006656625,1431
1430,697.0,0.006705906,1441
1440,697.0,0.006751997,1451
1450,697.0,0.0067979,1461
1460,697.0,0.006844059,1471
1470,697.0,0.006890447,1481
1480,697.0,0.00693828,1491
1490,697.0,0.006985006,1501
1500,697.0,0.007030058,1511
1510,697.0,0.007075722,1521
1520,697.0,0.007130872,1531
1530,697.0,0.007175186,1541
1540,697.0,0.0072235,1551
1550,697.0,0.007270957,1561
1560,697.0,0.007316336,1571
1570,697.0,0.007369871,1581
1580,697.0,0.00744558,1591
1590,699.0,0.007523323,1601
1600,699.0,0.007599234,1611
1610,699.0,0.0076476,1621
1620,701.0,0.007693936,1631
1630,705.0,0.007742544,1641
1640,705.0,0.007788285,1651
1650,705.0,0.007833566,1661
1660,705.0,0.00787742,1671
1670,707.0,0.007922013,1681
1680,709.0,0.00796799,1691
1690,709.0,0.00801543,1701
1700,711.0,0.00806038,1711
1710,713.0,0.008107108,1721
1720,713.0,0.008154651,1731
1730,713.0,0.008206067,1741
1740,715.0,0.008251311,1751
1750,715.0,0.008298307,1761
1760,717.0,0.008344764,1771
1770,717.0,0.008391786,1781
1780,717.0,0.008436505,1791
1790,719.0,0.00848254,1801
1800,721.0,0.008530283,1811
1810,721.0,0.008576216,1821
1820,721.0,0.008623511,1831
1830,721.0,0.008670286,1841
1840,721.0,0.008718814,1851
1850,721.0,0.008764788,1861
1860,721.0,0.008811583,1871
1870,721.0,0.008856417,1881
1880,721.0,0.008908204,1891
1890,721.0,0.008955611,1901
1900,723.0,0.009001366,1911
1910,723.0,0.00904673,1921
1920,723.0,0.009092456,1931
1930,723.0,0.009138461,1941
1940,723.0,0.009183404,1951
1950,723.0,0.009230256,1961
1960,723.0,0.009279752,1971
1970,723.0,0.009353524,1981
1980,723.0,0.009401808,1991
1990,723.0,0.009448324,2001
2000,725.0,0.009494313,2011
2010,725.0,0.009553983,2021
2020,725.0,0.009604384,2031
2030,725.0,0.009637952,2041
2040,725.0,0.0096715,2051
2050,725.0,0.009706214,2061
2060,725.0,0.009740283,2071
2070,727.0,0.009779827,2081
2080,727.0,0.009813351,2091
2090,727.0,0.009846239,2101
2100,727.0,0.009890714,2111
2110,727.0,0.009935708,2121
2120,727.0,0.009981769,2131
2130,727.0,0.010027498,2141
2140,727.0,0.010076109,2151
2150,733.0,0.010122803,2161
2160,733.0,0.010179445,2171
2170,733.0,0.010240519,2181
2180,733.0,0.010274256,2191
2190,733.0,0.010313699,2201
2200,735.0,0.010349737,2211
2210,735.0,0.010382631,2221
2220,737.0,0.01042732,2231
2230,739.0,0.010471833,2241
2240,739.0,0.01052542,2251
2250,739.0,0.010558433,2261
2260,739.0,0.010593813,2271
2270,739.0,0.010627336,2281
2280,739.0,0.010666337,2291
2290,739.0,0.010700848,2301
2300,739.0,0.010733886,2311
2310,739.0,0.010766405,2321
2320,739.0,0.01080061,2331
2330,741.0,0.01083435,2341
2340,741.0,0.010866939,2351
2350,745.0,0.010899813,2361
2360,745.0,0.010946754,2371
2370,745.0,0.010986573,2381
2380,747.0,0.01103422,2391
2390,749.0,0.011080933,2401
2400,749.0,0.011123777,2411
2410,749.0,0.011163041,2421
2420,749.0,0.011209018,2431
2430,751.0,0.011271135,2441
2440,753.0,0.011344831,2451
2450,755.0,0.011421284,2461
2460,755.0,0.011496139,2471
2470,755.0,0.011547371,2481
2480,755.0,0.011611019,2491
2490,757.0,0.011656364,2501
2500,757.0,0.011706704,2511
2510,757.0,0.01175174,2521
2520,757.0,0.011802519,2531
2530,757.0,0.01185232,2541
2540,757.0,0.011927437,2551
2550,757.0,0.012001463,2561
2560,757.0,0.012072905,2571
2570,759.0,0.01214226,2581
2580,759.0,0.01220951,2591
2590,759.0,0.012265647,2601
2600,763.0,0.012311354,2611
2610,763.0,0.012372777,2621
2620,763.0,0.012419329,2631
2630,763.0,0.012466316,2641
2640,763.0,0.012514046,2651
2650,763.0,0.012563847,2661
2660,763.0,0.012609681,2671
2670,763.0,0.012655063,2681
2680,763.0,0.012707799,2691
