iterations,fitness,time,fevals
0,0.0197362074168,1.4943e-05,11
10,0.0188271862162,2.9986e-05,21
20,0.0195680061563,4.3349e-05,31
30,0.0185156314737,5.5672e-05,41
40,0.0186459788408,6.83759999999e-05,51
50,0.0196927227874,8.011e-05,61
60,0.0196117407998,9.3102e-05,71
70,0.0194815167086,0.000105578,81
80,0.0200280961594,0.000117668,91
90,0.0203691921988,0.000128601,101
100,0.0195969599581,0.000149141,111
110,0.0192995165855,0.000160594,121
120,0.0187663045744,0.000171919,131
130,0.0194643752084,0.000186947,141
140,0.0195087267528,0.000197608,151
150,0.018630719593,0.000208521,161
160,0.019525456744,0.000219866,171
170,0.0192076890744,0.000240469,181
180,0.0200227517383,0.000257998,191
190,0.0178749681346,0.000270743,201
200,0.0186982246615,0.000281166,211
210,0.0181253519105,0.00029239,221
220,0.0183355257545,0.000303318,231
230,0.0191000154332,0.000313018,241
240,0.0186042515984,0.000323159,251
250,0.0193012298864,0.000344444,261
260,0.0192304355756,0.000359998,271
270,0.018809501615,0.000375639,281
280,0.0190311963107,0.000391124,291
290,0.0185771019798,0.000406383,301
300,0.0179151544122,0.000423211,311
310,0.0185042392565,0.000438967,321
320,0.0192920346495,0.000457038,331
330,0.0200963391268,0.000473368,341
340,0.0207588502771,0.000488964,351
350,0.020125892738,0.000512038,361
360,0.0194703638157,0.000529264,371
370,0.018856166051,0.000546139,381
380,0.0177691962916,0.000565387,391
390,0.01701292036,0.000582348,401
400,0.0175292095118,0.000597249,411
410,0.017617663018,0.000620861,421
420,0.01813244352,0.000643659,431
430,0.0183351843914,0.000660079,441
440,0.0178736877203,0.000675745,451
450,0.0181808772287,0.000691754,461
460,0.0190660302743,0.000706678,471
470,0.0193414599905,0.00072223,481
480,0.0186059024157,0.000737676,491
490,0.0198423317942,0.000753281,501
500,0.0191852385845,0.000769115,511
510,0.0180943854476,0.000793681,521
520,0.0186828765927,0.00081623,531
530,0.0191789635014,0.000836338,541
540,0.0195462512175,0.000857622,551
550,0.0189906913156,0.000877518,561
560,0.0193891649788,0.000896416,571
570,0.0188176666521,0.00091577,581
580,0.0192902771025,0.000935971,591
590,0.019769953451,0.000955534,601
600,0.0205630596403,0.000972067,611
610,0.0217066654925,0.000986326,621
620,0.0225795011509,0.001002055,631
630,0.0228346575801,0.001019398,641
640,0.0229910325625,0.001039221,651
650,0.0231782332482,0.001058581,661
660,0.0237614974402,0.001073874,671
670,0.0239610807792,0.001087565,681
680,0.0240401685495,0.001101321,691
690,0.0244569563847,0.001115036,701
700,0.0248082946441,0.001129026,711
710,0.0252434408124,0.001145429,721
720,0.0259493797549,0.00115943,731
730,0.0259493797549,0.00117748,741
740,0.026546806455,0.001192345,751
750,0.0267107648673,0.001208913,761
760,0.0281957566028,0.001227094,771
770,0.0281957566028,0.001242415,781
780,0.0286178637612,0.001260226,791
790,0.0287938034787,0.00127818,801
800,0.0293730397757,0.001293689,811
810,0.0295973687517,0.001311217,821
820,0.0295973687517,0.001326191,831
830,0.0299107725677,0.00134147,841
840,0.0299447672046,0.001355182,851
850,0.0299447672046,0.001370282,861
860,0.0299447672046,0.00138406,871
870,0.0299447672046,0.001398949,881
880,0.0302510195124,0.001412668,891
890,0.0307612660619,0.001431617,901
900,0.0307612660619,0.001445085,911
910,0.0311608409479,0.001458956,921
920,0.0311747801609,0.001472455,931
930,0.0319082323665,0.00148553,941
940,0.0319082323665,0.00150199,951
950,0.0321219797099,0.001515336,961
960,0.0321219797099,0.001530672,971
970,0.0322690694665,0.001550775,981
980,0.0324139660824,0.001566869,991
990,0.0324139660824,0.001582927,1001
1000,0.0324139660824,0.001597061,1011
1010,0.0324680477518,0.001648656,1021
1020,0.0327207797086,0.001719906,1031
1030,0.0330378477946,0.00173934,1041
1040,0.0332821806453,0.001759295,1051
1050,0.0332821806453,0.001789577,1061
1060,0.0333999989419,0.001809383,1071
1070,0.0333999989419,0.001827684,1081
1080,0.0335530562107,0.001845899,1091
1090,0.0335530562107,0.001863691,1101
1100,0.0335894559162,0.001885342,1111
1110,0.0335894559162,0.001904407,1121
1120,0.0335894559162,0.001925526,1131
1130,0.0336465321144,0.001945681,1141
1140,0.0336960302478,0.001973408,1151
1150,0.0340672616452,0.001996415,1161
1160,0.0340672616452,0.002016814,1171
1170,0.0341150990345,0.002036514,1181
1180,0.0341150990345,0.002054798,1191
1190,0.0350806486721,0.002073374,1201
1200,0.0353074086999,0.00209137,1211
1210,0.0357735659896,0.002109289,1221
1220,0.0358376822092,0.002126525,1231
1230,0.0358376822092,0.002150624,1241
1240,0.0358376822092,0.002168969,1251
1250,0.0358376822092,0.002192412,1261
1260,0.0358376822092,0.002225809,1271
1270,0.0358376822092,0.002246567,1281
1280,0.0360254754758,0.002264289,1291
1290,0.0360254754758,0.002283675,1301
1300,0.0360254754758,0.002304833,1311
1310,0.0360254754758,0.002325369,1321
1320,0.0360429881789,0.002355858,1331
1330,0.0363550322849,0.002376065,1341
1340,0.0363550322849,0.002392381,1351
1350,0.0363550322849,0.002422332,1361
1360,0.0363701750102,0.002439186,1371
1370,0.0363701750102,0.002458122,1381
1380,0.0367307462853,0.002476587,1391
1390,0.0368791821991,0.002503835,1401
1400,0.0374517156904,0.00252103,1411
1410,0.0374517156904,0.002538208,1421
1420,0.0374517156904,0.002555001,1431
1430,0.0374517156904,0.002578023,1441
1440,0.0374517156904,0.002597373,1451
1450,0.0374517156904,0.002615811,1461
1460,0.0376580244902,0.002634349,1471
1470,0.0376580244902,0.002653536,1481
1480,0.0376580244902,0.002671746,1491
1490,0.0376580244902,0.00269024,1501
1500,0.0377199225208,0.002707075,1511
1510,0.0379399305476,0.002723549,1521
1520,0.0379399305476,0.002740566,1531
1530,0.0379399305476,0.002759429,1541
1540,0.0379399305476,0.002778134,1551
1550,0.0381530980152,0.002800883,1561
1560,0.0382203581956,0.002819919,1571
1570,0.0382203581956,0.002837883,1581
1580,0.0385391571736,0.002854991,1591
1590,0.0388646072354,0.002873847,1601
1600,0.0391734242359,0.00289151,1611
